Speed,Angle
0,0
0.7049074,0
1.419661,0
2.144398,0
2.879259,0
3.624383,0
4.379916,0
5.146002,0
5.92279,0
6.710426,0
7.509065,0
8.318859,0
9.139965,0
9.97254,0
10.81674,0
11.67274,0
12.54069,0
13.42077,0
14.31314,0
15.21797,0
16.13544,0
17.06573,0
18.00901,0
18.96547,0
19.93528,0
20.91865,0
21.91574,0
22.92677,0
23.95192,0
20.5204,0
14.24208,0
9.153563,0
1.838604,0
1.570291,0
4.008259,0
5.235699,0
5.665355,0
5.481111,0
4.872188,0
4.010112,0
3.039994,0
2.148916,0
1.438336,0
0.7075939,0
0.011122,0
0.7151241,0
1.418719,0
1.524295,0
1.318709,0
1.053809,0
0.7639424,0
0.4909615,0
0.2405071,0
0.1375079,0
0.2955322,0
0.4325653,0
0.5435718,0
0.7149916,0
0.858999,-1.260836
1.07061,-2.668521
1.288549,-3.928054
1.509875,-5.202568
1.794155,-7.640156
2.099889,-8.898356
2.48016,-10.12393
2.84651,-11.36665
3.1968,-13.8969
3.576509,-15.11398
3.908835,-16.37011
4.31702,-17.6435
4.672084,-18.85823
5.063831,-21.32854
5.431972,-22.5489
5.806722,-23.79111
6.185799,-25
6.569142,-25
6.965522,-25
7.371922,-25
7.786795,-25
8.209802,-23.73816
8.648499,-22.30865
9.101136,0
9.469345,1.424443
9.855279,3.653717
10.25817,4.896433
10.67913,6.198867
11.11513,9.621621
11.53771,9.621621
11.97954,11.07801
12.41942,12.32079
12.85854,13.62893
13.29484,14.84708
13.72811,17.34326
14.14385,18.61611
14.55853,19.81726
14.97133,21.08961
15.38052,22.30236
15.78514,24.84198
16.16496,25
16.55959,25
16.96598,25
17.37938,25
17.79671,25
18.21687,23.75725
18.6531,21.72821
19.29097,20.48549
19.1231,18.91287
20.14866,17.62625
20.23305,16.42782
20.57974,0
21.1629,-1.588287
21.78146,-2.84252
21.78955,-5.324311
22.40032,-6.55853
22.59156,-7.827123
23.2022,-9.100956
23.19105,-10.28579
23.78262,-12.79008
23.84239,-14.05494
24.52168,-15.25609
24.7796,-16.49851
24.8247,-17.74099
25.46564,-20.23628
25.79724,-21.46852
26.14417,-22.74967
26.75064,-23.95354
26.54795,-25
27.10029,-22.23395
27.69259,-20.99133
27.72282,-19.72573
28.02369,-18.50622
29.1796,-17.2638
28.47039,-16.02138
29.42684,-13.48997
29.58717,-12.25525
30.20811,-11.0512
30.59154,-9.808716
30.97355,-8.559665
31.78357,-6.08119
31.58952,-4.832168
32.50425,0
32.59103,2.060397
33.2493,3.691792
33.28257,5.310811
33.9494,6.553467
33.96578,7.797071
34.67157,9.039817
34.31554,10.32531
35.16429,11.52495
35.0764,14.03318
35.30052,12.81554
35.97474,10.52478
36.11581,10.52478
36.76176,8.03955
36.73448,6.795709
37.58086,5.554472
37.30286,4.312201
38.19273,3.069484
38.35778,-1.696589
38.91264,-1.696589
38.9566,-4.223085
39.60501,-5.496741
39.51279,-6.668223
40.30632,-7.918193
39.93309,-9.205971
40.82153,-11.64386
40.68282,-12.88021
41.43342,-14.13657
40.9915,-12.89936
41.98988,-10.82087
41.61882,0
42.53196,1.574816
42.44794,2.81771
43.13813,4.061078
43.01342,6.546036
43.69124,7.787982
43.57717,9.054266
44.28746,10.32736
43.96429,11.51462
44.80524,13.99955
44.44421,15.25704
45.21994,16.53034
44.92799,17.73016
45.65822,19.00464
45.25369,16.67784
46.16309,15.24164
45.73536,13.99896
46.79763,12.74233
46.4556,11.47797
47.53022,9.005533
47.09757,7.723529
48.18147,6.544083
47.97263,0
48.80285,-1.427107
48.648,-3.912955
49.36561,-5.155168
49.19247,-6.397558
49.91751,-7.640896
49.65221,-8.883523
50.42299,-11.36768
50.11747,-12.622
50.82235,-13.89498
50.57496,-15.09545
51.22885,-16.33713
50.91962,-18.85587
51.52673,-17.5802
51.33465,-16.37621
52.02903,-15.13343
51.73834,-13.82339
52.65634,1.681904
52.31926,2.961599
53.01733,4.236438
52.98946,5.409785
53.46072,6.681072
53.43072,7.9613
53.90971,10.37961
53.80241,11.64874
54.2865,12.86484
54.1442,14.1239
54.64604,15.34997
54.45452,12.33689
55.10443,12.33689
54.88605,0
55.61081,-1.572832
55.53052,-2.815519
56.18076,-4.111083
55.99158,-5.300566
56.72136,-6.571231
56.4464,-9.051572
57.13749,-10.27051
56.95849,-11.52318
57.55707,-12.75541
57.30689,-13.99801
57.92093,-14.05198
57.68715,-12.60078
58.40249,-11.34953
58.14544,-10.11579
59.00563,-8.840385
58.74674,-7.630711
59.64228,-7.606848
59.40205,-9.447503
60.25993,-10.71083
59.98082,-11.93267
60.78996,-10.68753
60.51701,-8.84089
61.38493,-7.598262
61.14808,-6.355842
62.03407,0
61.74622,1.679831
62.57325,2.940992
62.31083,4.165352
63.12185,7.016311
62.73199,8.258998
63.46638,9.503402
63.27225,10.76104
63.86724,11.9865
63.61301,13.23611
64.20358,15.71399
63.90337,16.96985
64.38763,18.19907
64.14962,19.44149
64.53662,20.72894
64.30634,23.18637
64.60844,24.42073
64.37791,25
64.62059,25
64.41813,23.75785
64.7335,21.87858
64.57921,20.63237
65.12605,18.11645
65.00026,16.90846
65.70824,15.63773
65.61526,14.39534
66.33837,13.1809
66.28172,11.71178
66.99602,10.12862
66.91022,7.642919
67.56551,6.38534
67.36618,5.158078
67.97182,3.915481
67.6999,2.672231
68.25708,0.1886937
67.89811,0
68.3616,0
67.914,0
68.06269,0
28.26083,0
26.02696,0
24.49168,0

